Date,IYT,RWR,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
02JAN2008,-0.0218,-0.0061,-0.0096,0.0019,-0.0197,-0.0166,-0.0203,-0.0142,-0.0057,-0.0105,-0.0153
03JAN2008,-0.0054,-0.0293,0.0182,0.0118,-0.0063,0.0008,0.0015,-0.0053,-0.0014,0.0060,-0.0112
04JAN2008,-0.0350,-0.0422,-0.0302,-0.0365,-0.0284,-0.0205,-0.0390,-0.0042,0.0076,-0.0102,-0.0314
07JAN2008,0.0063,0.0067,-0.0137,-0.0039,0.0026,-0.0125,-0.0088,0.0117,0.0208,0.0198,0.0036
08JAN2008,-0.0307,-0.0326,-0.0154,-0.0175,-0.0364,-0.0223,-0.0265,-0.0074,0.0002,0.0082,-0.0194
09JAN2008,0.0015,0.0181,0.0063,0.0132,0.0189,0.0030,0.0140,0.0135,0.0109,0.0179,0.0072
10JAN2008,0.0264,0.0124,0.0136,-0.0042,0.0171,0.0139,0.0016,0.0017,-0.0062,-0.0014,0.0141
11JAN2008,-0.0187,0.0034,-0.0102,-0.0122,0.0033,-0.0170,-0.0146,-0.0140,-0.0002,0.0030,-0.0239
14JAN2008,0.0217,-0.0027,0.0335,0.0198,0.0138,0.0123,0.0202,-0.0042,0.0014,-0.0077,0.0096
15JAN2008,-0.0150,-0.0284,-0.0273,-0.0414,-0.0412,-0.0209,-0.0210,-0.0107,-0.0106,-0.0113,-0.0183
16JAN2008,0.0071,0.0166,-0.0333,-0.0333,0.0168,-0.0116,-0.0219,-0.0036,-0.0179,0.0025,0.0057
17JAN2008,-0.0258,-0.0123,-0.0494,-0.0378,-0.0508,-0.0266,-0.0089,-0.0072,-0.0386,-0.0192,-0.0166
18JAN2008,0.0094,-0.0118,0.0114,0.0022,-0.0116,-0.0020,-0.0174,-0.0145,-0.0148,-0.0145,-0.0047
22JAN2008,-0.0004,0.0332,-0.0091,-0.0283,0.0216,0.0035,-0.0186,-0.0103,-0.0345,-0.0363,0.0196
23JAN2008,0.0686,0.0922,0.0173,0.0093,0.0710,0.0273,0.0088,0.0123,0.0266,0.0072,0.0365
24JAN2008,0.0008,-0.0259,0.0159,0.0352,0.0004,0.0059,0.0144,-0.0048,-0.0272,-0.0039,0.0099
25JAN2008,0.0023,-0.0120,0.0050,-0.0179,-0.0262,-0.0044,-0.0155,-0.0137,-0.0109,-0.0158,-0.0206
